age,monthly_income,monthly_expenses,current_savings,existing_debt,dependents,years_to_goal,goal,annual_income,annual_expenses,annual_savings_capacity,savings_rate,debt_to_income,emergency_months,risk_label
59,67821,55244,168469,1379300,2,30,Wealth Creation,813852,662928,150924,0.18544403650786628,1.694779886269248,3.04954384186518,Conservative
49,150736,78526,2357422,1300407,4,26,House Purchase,1808832,942312,866520,0.47904946396348586,0.7189208284683155,30.020910271757124,Moderate
35,169565,104085,1136136,892008,3,20,Wealth Creation,2034780,1249020,785760,0.38616459764692007,0.43838056202636155,10.915463323245424,Aggressive
28,42069,19175,536394,348737,2,16,Child Education,504828,230100,274728,0.5442011932777104,0.6908036004342073,27.97361147327249,Moderate
41,32531,27580,2110825,724410,1,3,House Purchase,390372,330960,59412,0.1521932925517199,1.8556914942670069,76.53462654097171,Conservative
59,193123,162331,540112,1255174,1,17,Retirement,2317476,1947972,369504,0.1594424278827483,0.5416125129235427,3.327226469374303,Conservative
39,163808,110530,1123519,1449299,3,5,Wealth Creation,1965696,1326360,639336,0.3252466302012112,0.7372955940287816,10.164833076992672,Moderate
43,163782,123197,1318071,667478,0,26,Emergency Fund,1965384,1478364,487020,0.24779890342040028,0.33961709263940276,10.698888771642167,Moderate
31,92155,65204,1118966,181601,0,8,Emergency Fund,1105860,782448,323412,0.2924529325592751,0.16421698949234081,17.16100239249126,Moderate
31,170047,109948,2438853,68682,1,12,Emergency Fund,2040564,1319376,721188,0.3534258175680841,0.0336583415173452,22.181876887255793,Aggressive
44,87424,32930,1070482,1271585,3,25,House Purchase,1049088,395160,653928,0.6233299780380673,1.21208611670327,32.50780443364713,Conservative
56,70603,40764,552249,447392,0,23,Retirement,847236,489168,358068,0.42263076639802843,0.5280606584233909,13.54746835443038,Aggressive
60,179324,123266,2110178,1295129,4,12,Retirement,2151888,1479192,672696,0.3126073475942986,0.6018570669105455,17.11889734395535,Moderate
44,236869,163147,209773,1402433,1,27,Retirement,2842428,1957764,884664,0.31123532416652244,0.4933926206750004,1.2857913415508713,Moderate
23,157503,84510,362808,1414780,4,1,Wealth Creation,1890036,1014120,875916,0.463438791642064,0.7485465885305889,4.29307774227902,Moderate
42,230675,189348,1149775,659774,3,1,House Purchase,2768100,2272176,495924,0.17915682236913405,0.238349048083523,6.072284893423749,Conservative
22,193553,83939,2216916,1131606,4,15,Emergency Fund,2322636,1007268,1315368,0.5663255025755219,0.4872076382179558,26.41103658609228,Moderate
44,117573,70564,2067298,1168936,0,17,Wealth Creation,1410876,846768,564108,0.39982819184676754,0.8285178853421562,29.296780227878237,Aggressive
50,165629,115185,1190933,659297,0,2,Retirement,1987548,1382220,605328,0.3045601917538595,0.331713749806294,10.339306333289924,Moderate
58,231043,161399,1411449,1004366,2,17,Emergency Fund,2772516,1936788,835728,0.3014330665720234,0.36225796352482725,8.745091357443355,Conservative
22,128302,86516,2429864,694025,1,20,House Purchase,1539624,1038192,501432,0.3256847126311359,0.45077564392345143,28.085718248647648,Aggressive
41,156234,76186,879734,467726,3,26,Child Education,1874808,914232,960576,0.5123596656297605,0.24947941335859458,11.5471871472449,Aggressive
53,190814,81688,1032884,935004,1,9,Retirement,2289768,980256,1309512,0.5718972402444266,0.40834005890553104,12.644256194300265,Moderate
32,44675,29841,1687832,1162936,4,12,Retirement,536100,358092,178008,0.3320425293788472,2.1692520052229063,56.56083911397071,Conservative
42,98997,64313,2277728,1312470,3,4,Retirement,1187964,771756,416208,0.3503540511328626,1.104806206248674,35.41629219597904,Conservative
45,173087,76102,1892154,589306,3,13,Retirement,2077044,913224,1163820,0.5603251544021215,0.28372340691867864,24.86339386612704,Aggressive
47,206129,144819,933605,1042960,0,4,Emergency Fund,2473548,1737828,735720,0.29743510132004713,0.42164534506708584,6.446702435453911,Conservative
48,188663,108969,1530399,1445819,4,7,House Purchase,2263956,1307628,956328,0.4224145698944679,0.6386250439496174,14.044352063430884,Conservative
36,249655,170734,36939,136817,0,14,Wealth Creation,2995860,2048808,947052,0.31612024593939636,0.04566868945811887,0.21635409467358582,Aggressive
35,165905,127528,2076547,192803,0,27,Emergency Fund,1990860,1530336,460524,0.23131912841686508,0.0968440774338728,16.283067247976916,Moderate
23,32896,14305,326604,814883,2,9,House Purchase,394752,171660,223092,0.5651446984435797,2.0642909978923476,22.831457532331353,Conservative
57,189044,67975,2052656,355887,0,23,Wealth Creation,2268528,815700,1452828,0.6404276253147415,0.15688014430502953,30.19721956601692,Aggressive
27,74733,55268,2316446,857906,1,1,Retirement,896796,663216,233580,0.26046057297311764,0.9566345077364306,41.91296953028878,Conservative
41,66800,43743,2179271,1060726,3,1,House Purchase,801600,524916,276684,0.3451646706586826,1.3232609780439122,49.819879752188925,Conservative
29,121044,84708,1478251,799838,0,20,Retirement,1452528,1016496,436032,0.30018836125706355,0.5506523798508531,17.45113802710488,Aggressive
59,30347,23339,1023750,1199429,1,4,House Purchase,364164,280068,84096,0.23092892213398358,3.2936506628881492,43.86434722995844,Conservative
38,215135,161653,1287403,1237065,4,1,Child Education,2581620,1939836,641784,0.24859739233504544,0.47918167662165617,7.9639907703537824,Conservative
24,158715,131806,1335777,902479,3,22,Retirement,1904580,1581672,322908,0.16954289134612355,0.47384672736246314,10.134417249594101,Moderate
45,65785,40652,169805,199756,4,10,Retirement,789420,487824,301596,0.382047579235388,0.2530414734868638,4.177039260061005,Moderate
34,43681,25957,1874165,17669,1,2,Retirement,524172,311484,212688,0.40575994139328314,0.03370840105919431,72.20268135762993,Aggressive
29,206098,113548,1890038,913817,4,27,Emergency Fund,2473176,1362576,1110600,0.4490582150239207,0.36949129378580414,16.64527776799239,Aggressive
46,128864,55005,2267837,334154,4,21,Wealth Creation,1546368,660060,886308,0.5731546436553265,0.21608957246916646,41.22965184983183,Aggressive
22,171964,109421,1701476,207836,4,24,Retirement,2063568,1313052,750516,0.36369821590565465,0.10071681669806859,15.549812193271858,Aggressive
40,72299,35318,397224,132915,0,15,Retirement,867588,423816,443772,0.5115008506341719,0.15320059751863788,11.247069482983182,Aggressive
48,42073,34106,1938036,196681,0,3,Emergency Fund,504876,409272,95604,0.18936134813300692,0.38956298180147203,56.82390195273559,Conservative
27,127304,81677,499498,575100,0,25,Emergency Fund,1527648,980124,547524,0.35840979073713314,0.37646106956576386,6.115528239284009,Moderate
28,55682,35993,1204836,802491,3,23,Child Education,668184,431916,236268,0.35359721274379513,1.2010030171330053,33.47417553413164,Moderate
55,149302,78751,258178,1396989,1,9,House Purchase,1791624,945012,846612,0.47253888092590857,0.7797333592316245,3.278409163058247,Conservative
34,170361,64054,279418,777150,0,17,Retirement,2044332,768648,1275684,0.6240101901256743,0.38014862556571044,4.3622256221313265,Aggressive
37,140359,51353,2146832,1220416,4,21,House Purchase,1684308,616236,1068072,0.6341310496655006,0.7245800649287423,41.80538624812572,Moderate
56,163999,92112,254433,25395,4,28,Emergency Fund,1967988,1105344,862644,0.4383380386465771,0.01290404209781767,2.7622133923918706,Moderate
60,204402,80183,2046199,1330922,4,13,Emergency Fund,2452824,962196,1490628,0.6077191025528126,0.5426080305802617,25.519112530087426,Conservative
24,91707,59923,384446,930777,4,3,Child Education,1100484,719076,381408,0.3465820493528302,0.8457887620356134,6.415666772357859,Conservative
22,233526,184599,468934,1278283,2,4,Wealth Creation,2802312,2215188,587124,0.20951414403535368,0.4561529908161547,2.540284616926419,Aggressive
26,90428,71569,1067725,771469,3,4,Emergency Fund,1085136,858828,226308,0.20855266068032025,0.7109422229103081,14.918819600665092,Conservative
24,75601,51372,1598660,224839,1,11,Retirement,907212,616464,290748,0.3204851787674766,0.24783512563766794,31.119286771003658,Aggressive
49,233537,106403,1902226,1268458,1,28,Child Education,2802444,1276836,1525608,0.5443848298128348,0.4526256367656232,17.877559843237503,Aggressive
38,158611,123954,1763067,1291378,0,7,Wealth Creation,1903332,1487448,415884,0.21850313029991614,0.6784827870282221,14.223558739532407,Moderate
46,136487,108240,1469915,774456,2,26,Child Education,1637844,1298880,338964,0.20695743917003084,0.4728508942243584,13.580145971914265,Moderate
54,178741,80134,2098038,857081,1,11,Emergency Fund,2144892,961608,1183284,0.5516753291074795,0.3995916810729864,26.181620785184816,Moderate
30,227040,163176,1491617,893155,3,24,Wealth Creation,2724480,1958112,766368,0.28128964059196615,0.3278258603476627,9.141154336422023,Aggressive
56,176716,87166,843271,527169,4,11,House Purchase,2120592,1045992,1074600,0.5067452862219607,0.24859520360352202,9.674311084597205,Moderate
34,174817,131343,1962120,832345,0,10,Wealth Creation,2097804,1576116,521688,0.2486829084127974,0.3967696696164179,14.938900436262305,Aggressive
51,53228,45170,1702964,871217,3,5,Retirement,638736,542040,96696,0.15138648831442097,1.3639704040479947,37.701217622315696,Conservative
35,190593,69568,841939,458253,1,13,House Purchase,2287116,834816,1452300,0.6349918412533514,0.20036281500369899,12.102389029438822,Aggressive
28,147788,118035,119244,166415,2,29,House Purchase,1773456,1416420,357036,0.2013221641811243,0.09383655416317067,1.01024272461558,Moderate
34,122239,80838,1478835,471466,0,12,Retirement,1466868,970056,496812,0.33868896178797275,0.3214099700859246,18.293809841906036,Aggressive
43,51928,43447,1268641,1188304,1,10,House Purchase,623136,521364,101772,0.16332229240486829,1.9069737585374622,29.199737611342556,Conservative
60,43322,25235,2169279,1316461,0,7,Emergency Fund,519864,302820,217044,0.4175015003924103,2.5323180678023482,85.9631067961165,Conservative
41,213786,165404,1012281,147733,1,19,Wealth Creation,2565432,1984848,580584,0.22631042257210482,0.05758601280408134,6.12005151024159,Aggressive
36,112896,43035,881864,815122,4,19,Wealth Creation,1354752,516420,838332,0.6188084608843537,0.601676173941799,20.491785755780178,Aggressive
38,87292,45185,1707040,294977,2,19,Retirement,1047504,542220,505284,0.48236951839802045,0.28159987933220304,37.77890892995463,Aggressive
44,54055,20730,2216274,626854,4,12,Emergency Fund,648660,248760,399900,0.6165017112200536,0.9663830049640798,106.91143270622287,Conservative
46,67891,56870,2449700,1119816,1,20,House Purchase,814692,682440,132252,0.16233374084930255,1.3745268150417582,43.07543520309478,Conservative
45,106912,81091,1412652,631186,3,22,Wealth Creation,1282944,973092,309852,0.24151638730918887,0.4919825027436895,17.420576882761342,Aggressive
49,162660,126268,641458,1388431,4,15,Wealth Creation,1951920,1515216,436704,0.2237304807574081,0.7113155252264437,5.080131149618272,Moderate
